,Release Date,Title,Genre,Runtime,Budget,Revenue
281,2006-07-26,Little Miss Sunshine,Comedy,102.0,8000000.0,100523181.0
282,2006-09-15,The Queen,Drama,103.0,15000000.0,123384128.0
283,2007-09-07,Atonement,Drama,123.0,30000000.0,131016624.0
284,2007-12-05,Juno,Comedy,96.0,7500000.0,231411584.0
285,2007-07-12,Michael Clayton,Drama,119.0,25000000.0,92991835.0
286,2007-11-08,No Country for Old Men,Crime,122.0,25000000.0,171627166.0
287,2007-12-28,There Will Be Blood,Drama,158.0,25000000.0,77208711.0
288,2008-12-25,The Curious Case of Benjamin Button,Fantasy,166.0,150000000.0,333932083.0
289,2008-10-15,Frost/Nixon,Drama,122.0,25000000.0,18593156.0
290,2008-11-05,Milk,History,129.0,20000000.0,54586584.0
291,2008-01-02,The Reader,Drama,124.0,32000000.0,113019290.0
292,2008-05-12,Slumdog Millionaire,Drama,120.0,15000000.0,377910544.0
293,2009-12-10,Avatar,Action,162.0,237000000.0,2787965087.0
294,2009-11-20,The Blind Side,Drama,129.0,29000000.0,309208309.0
295,2009-08-05,District 9,Science Fiction,112.0,30000000.0,210819611.0
296,2009-10-29,An Education,Drama,100.0,7500000.0,26096852.0
297,2008-10-10,The Hurt Locker,Drama,131.0,15000000.0,49230772.0
298,2009-08-18,Inglourious Basterds,Drama,153.0,70000000.0,321455689.0
299,2009-11-06,Precious,Drama,110.0,10000000.0,47536959.0
300,2009-09-30,A Serious Man,Comedy,105.0,7000000.0,31430334.0
301,2009-05-28,Up,Animation,96.0,175000000.0,735099082.0
302,2009-09-05,Up in the Air,Drama,110.0,25000000.0,163670000.0
303,2010-12-03,Black Swan,Drama,108.0,13000000.0,329398046.0
304,2010-12-17,The Fighter,Drama,116.0,25000000.0,93617009.0
305,2010-07-15,Inception,Action,148.0,160000000.0,825532764.0
306,2010-07-09,The Kids Are All Right,Comedy,106.0,3500000.0,34705850.0
307,2010-09-06,The King's Speech,Drama,118.0,15000000.0,414211549.0
308,2010-11-05,127 Hours,Adventure,94.0,18000000.0,35692920.0
309,2010-10-01,The Social Network,Drama,121.0,40000000.0,224920315.0
310,2010-06-16,Toy Story 3,Animation,103.0,200000000.0,1066969703.0
311,2010-12-22,True Grit,Drama,110.0,38000000.0,252276927.0
